epoch,step,train_loss,train_accuracy_step,val_accuracy_step,val_accuracy_epoch,val_loss,train_accuracy_epoch
,389,,,0.4375,,,
,390,,,0.34375,,,
,391,,,0.25,,,
,392,,,0.375,,,
,393,,,0.375,,,
,394,,,0.28125,,,
,395,,,0.40625,,,
,396,,,0.15625,,,
,397,,,0.34375,,,
,398,,,0.4375,,,
,399,,,0.25,,,
,400,,,0.21875,,,
,401,,,0.46875,,,
,402,,,0.3125,,,
,403,,,0.3125,,,
,404,,,0.40625,,,
,405,,,0.25,,,
,406,,,0.25,,,
,407,,,0.40625,,,
,408,,,0.34375,,,
,409,,,0.28125,,,
,410,,,0.375,,,
,411,,,0.1875,,,
,412,,,0.28125,,,
,413,,,0.28125,,,
,414,,,0.28125,,,
,415,,,0.3125,,,
,416,,,0.28125,,,
,417,,,0.21875,,,
,418,,,0.25,,,
,419,,,0.4375,,,
,420,,,0.28125,,,
,421,,,0.40625,,,
,422,,,0.34375,,,
,423,,,0.375,,,
,424,,,0.28125,,,
,425,,,0.375,,,
,426,,,0.375,,,
,427,,,0.25,,,
,428,,,0.3125,,,
,429,,,0.21875,,,
,430,,,0.3125,,,
,431,,,0.28125,,,
,432,,,0.34375,,,
,433,,,0.5,,,
,434,,,0.3125,,,
,435,,,0.3125,,,
,436,,,0.40625,,,
,437,,,0.4375,,,
,438,,,0.4375,,,
,439,,,0.40625,,,
,440,,,0.34375,,,
,441,,,0.53125,,,
,442,,,0.3125,,,
,443,,,0.34375,,,
,444,,,0.46875,,,
,445,,,0.3125,,,
,446,,,0.40625,,,
,447,,,0.3125,,,
,448,,,0.25,,,
,449,,,0.375,,,
,450,,,0.28125,,,
,451,,,0.40625,,,
,452,,,0.375,,,
,453,,,0.59375,,,
,454,,,0.28125,,,
,455,,,0.25,,,
,456,,,0.1875,,,
,457,,,0.34375,,,
,458,,,0.375,,,
,459,,,0.3125,,,
,460,,,0.40625,,,
,461,,,0.3125,,,
,462,,,0.34375,,,
,463,,,0.375,,,
,464,,,0.4375,,,
,465,,,0.28125,,,
,466,,,0.375,,,
,467,,,0.5,,,
,468,,,0.28125,,,
,469,,,0.21875,,,
,470,,,0.3125,,,
,471,,,0.1875,,,
,472,,,0.15625,,,
,473,,,0.375,,,
,474,,,0.25,,,
,475,,,0.5,,,
,476,,,0.375,,,
,477,,,0.375,,,
,478,,,0.34375,,,
,479,,,0.3125,,,
,480,,,0.4375,,,
,481,,,0.3125,,,
,482,,,0.3125,,,
,483,,,0.25,,,
,484,,,0.4375,,,
,485,,,0.34375,,,
,486,,,0.34375,,,
,487,,,0.34375,,,
,488,,,0.5,,,
,489,,,0.28125,,,
,490,,,0.21875,,,
,491,,,0.28125,,,
,492,,,0.34375,,,
,493,,,0.3125,,,
,494,,,0.21875,,,
,495,,,0.4375,,,
,496,,,0.46875,,,
,497,,,0.4375,,,
,498,,,0.375,,,
,499,,,0.5,,,
,500,,,0.375,,,
,501,,,0.1875,,,
,502,,,0.25,,,
,503,,,0.25,,,
,504,,,0.375,,,
,505,,,0.28125,,,
,506,,,0.4375,,,
,507,,,0.375,,,
,508,,,0.34375,,,
,509,,,0.40625,,,
,510,,,0.5,,,
,511,,,0.375,,,
,512,,,0.3125,,,
,513,,,0.375,,,
,514,,,0.375,,,
,515,,,0.1875,,,
,516,,,0.40625,,,
,517,,,0.34375,,,
,518,,,0.3125,,,
,519,,,0.40625,,,
,520,,,0.3125,,,
,521,,,0.4375,,,
,522,,,0.4375,,,
,523,,,0.3125,,,
,524,,,0.34375,,,
,525,,,0.40625,,,
,526,,,0.3125,,,
,527,,,0.28125,,,
,528,,,0.3125,,,
,529,,,0.3125,,,
,530,,,0.34375,,,
,531,,,0.375,,,
,532,,,0.34375,,,
,533,,,0.40625,,,
,534,,,0.375,,,
,535,,,0.4375,,,
,536,,,0.15625,,,
,537,,,0.46875,,,
,538,,,0.34375,,,
,539,,,0.40625,,,
,540,,,0.40625,,,
,541,,,0.4375,,,
,542,,,0.28125,,,
,543,,,0.21875,,,
,544,,,0.3125,,,
,545,,,0.34375,,,
,546,,,0.25,,,
,547,,,0.25,,,
,548,,,0.46875,,,
,549,,,0.3125,,,
,550,,,0.25,,,
,551,,,0.34375,,,
,552,,,0.21875,,,
,553,,,0.34375,,,
,554,,,0.3125,,,
,555,,,0.375,,,
,556,,,0.28125,,,
,557,,,0.3125,,,
,558,,,0.3125,,,
,559,,,0.25,,,
,560,,,0.28125,,,
,561,,,0.34375,,,
,562,,,0.40625,,,
,563,,,0.3125,,,
,564,,,0.25,,,
,565,,,0.34375,,,
,566,,,0.25,,,
,567,,,0.1875,,,
,568,,,0.5,,,
,569,,,0.5,,,
,570,,,0.25,,,
,571,,,0.40625,,,
,572,,,0.34375,,,
,573,,,0.46875,,,
,574,,,0.4375,,,
,575,,,0.3125,,,
,576,,,0.5,,,
,577,,,0.46875,,,
,578,,,0.375,,,
,579,,,0.375,,,
,580,,,0.34375,,,
,581,,,0.34375,,,
,582,,,0.46875,,,
,583,,,0.34375,,,
,584,,,0.375,,,
,585,,,0.375,,,
,586,,,0.28125,,,
,587,,,0.25,,,
,588,,,0.46875,,,
,589,,,0.4375,,,
,590,,,0.375,,,
,591,,,0.3125,,,
,592,,,0.5625,,,
,593,,,0.46875,,,
,594,,,0.15625,,,
,595,,,0.25,,,
,596,,,0.34375,,,
,597,,,0.25,,,
,598,,,0.28125,,,
,599,,,0.28125,,,
,600,,,0.3125,,,
,601,,,0.28125,,,
,602,,,0.21875,,,
,603,,,0.40625,,,
,604,,,0.34375,,,
,605,,,0.1875,,,
,606,,,0.40625,,,
,607,,,0.375,,,
,608,,,0.3125,,,
,609,,,0.40625,,,
,610,,,0.46875,,,
,611,,,0.375,,,
,612,,,0.34375,,,
,613,,,0.28125,,,
,614,,,0.25,,,
,615,,,0.21875,,,
,616,,,0.3125,,,
,617,,,0.46875,,,
,618,,,0.40625,,,
,619,,,0.28125,,,
,620,,,0.25,,,
,621,,,0.34375,,,
,622,,,0.40625,,,
,623,,,0.46875,,,
,624,,,0.3125,,,
,625,,,0.25,,,
,626,,,0.375,,,
,627,,,0.15625,,,
,628,,,0.34375,,,
,629,,,0.375,,,
,630,,,0.1875,,,
,631,,,0.15625,,,
,632,,,0.1875,,,
,633,,,0.4375,,,
,634,,,0.46875,,,
,635,,,0.3125,,,
,636,,,0.34375,,,
